"","county","county_code","state","covid_deaths_2020","death_offset_2020","all_cause_deaths_2020","covid_death_rate_2020","all_cause_death_rate_2020","fitted_deaths_2020","fitted_death_rate_2020","pop_2020","pred_deaths_lwr_ci_2020","pred_deaths_upr_ci_2020","pred_death_rate_lwr_ci_2020","pred_death_rate_upr_ci_2020","pred_death_std_err","pred_death_rate_std_err","covid_death_impute_flag","excess_deaths_2020","excess_assigned_covid_deaths","excess_unassigned_covid_deaths","prop_deaths_unassigned","prop_deaths_unassigned_bin","excess_death_rate_2020","excess_assigned_covid_death_rate","excess_unassigned_covid_death_rate","prop_death_rate_unassigned","prop_death_rate_unassigned_bin"
"1","Autauga County, AL",1001,"AL",59,55.911,651,1.05524851996924,11.6435048559317,557.757853360524,9.97581608915104,55911,508,613.025,9.08586861261648,10.9643004060024,26.9432726286162,0.481895738380931,0,93.2421466394765,59,34.2421466394765,0.367238935112409,6,1.66768876678067,1.05524851996924,0.612440246811429,0.367238935112391,6
"2","Baldwin County, AL",1003,"AL",179,229.157,2691,0.781123858315478,11.7430407973573,2416.7129128703,10.5461012007938,229157,2305,2530.025,10.0586061084758,11.040574802428,56.6321284517276,0.247132439557716,0,274.287087129703,179,95.2870871297032,0.347399099705501,6,1.19693959656354,0.781123858315478,0.415815738248059,0.347399099705518,6
"3","Barbour County, AL",1005,"AL",42,24.332,378,1.72612197928654,15.5350978135788,316.481995961436,13.0068221256549,24332,288.975,366.025,11.8763356896268,15.0429475587703,20.0522950940419,0.824112078499176,0,61.5180040385644,42,19.5180040385644,0.317273038090263,6,2.52827568792388,1.72612197928654,0.802153708637341,0.317273038090256,6
"4","Bibb County, AL",1007,"AL",48,22.09,297,2.17292892711634,13.4449977365324,266.582995041028,12.0680396125409,22090,237.975,311,10.772974196469,14.078768673608,18.3864205450778,0.832341355594289,0,30.417004958972,48,-17.582995041028,NA,NA,1.37695812399152,2.17292892711634,-0.795970803124821,NA,NA
"5","Blount County, AL",1009,"AL",97,57.85,849,1.67675021607606,14.675885911841,750.692861194187,12.9765403836506,57850,713,832,12.3249783923941,14.3820224719101,31.4500357511522,0.543647981869527,0,98.3071388058129,97,1.30713880581288,0.0132964789911635,1,1.6993455281904,1.67675021607606,0.0225953121143438,0.0132964789911826,1
"6","Bullock County, AL",1011,"AL",21,10.064,149,2.08664546899841,14.8052464228935,124.847008467386,12.4053068826894,10064,101,149,10.0357710651828,14.8052464228935,12.2653999541815,1.21874005904029,0,24.1529915326141,21,3.15299153261407,0.130542484907368,2,2.39993954020412,2.08664546899841,0.313294071205709,0.130542484907375,2
"7","Butler County, AL",1013,"AL",55,19.253,312,2.85669765750792,16.2052667116813,261.827508678043,13.5993096493036,19253,226.975,298,11.7890718329611,15.478107307952,18.2284297362842,0.946783864139834,0,50.1724913219574,55,-4.82750867804265,NA,NA,2.60595706237768,2.85669765750792,-0.250740595130243,NA,NA
"8","Calhoun County, AL",1015,"AL",190,113.444,1783,1.67483516096047,15.7170057473291,1571.17906530152,13.849820751221,113444,1473,1653,12.9843799583936,14.5710659003561,46.1631440314334,0.406924509285933,0,211.820934698483,190,21.8209346984827,0.10301594943646,2,1.86718499610808,1.67483516096047,0.192349835147607,0.103015949436471,2
"9","Chambers County, AL",1017,"AL",81,33.32,597,2.43097238895558,17.9171668667467,422.921049148029,12.692708557864,33320,378,466,11.3445378151261,13.9855942376951,23.0527298243039,0.691858638184392,0,174.078950851971,81,93.0789508519707,0.53469388686241,9,5.22445830888268,2.43097238895558,2.79348591992709,0.53469388686241,9
"10","Cherokee County, AL",1019,"AL",41,26.462,460,1.54939158037941,17.3834177310861,376.190088544013,14.216237946641,26462,336.975,426,12.7342982389842,16.0985564205276,22.8172315817905,0.862264060985205,0,83.8099114559868,41,42.8099114559868,0.510797717266038,8,3.16717978444514,1.54939158037941,1.61778820406572,0.51079771726604,8
