"","cs_code","year","state","cs_name","all_cause_deaths_2020","cens_pop_est","total_deaths_lag1","pop_lag1","covid_deaths_2020","num_counties","death_offset_2020","death_offset_lag1","all_cause_death_rate_2020","death_rate_lag1","time","time_orig_vals","fitted_deaths_2020","fitted_death_rate_2020","pred_deaths_lwr_ci_2020","pred_deaths_upr_ci_2020","pred_death_rate_lwr_ci_2020","pred_death_rate_upr_ci_2020","pred_death_std_err","pred_death_rate_std_err","covid_death_rate_2020","excess_deaths_2020","excess_assigned_covid_deaths","excess_unassigned_covid_deaths","prop_deaths_unassigned","excess_death_rate_2020","excess_assigned_covid_death_rate","excess_unassigned_covid_death_rate","prop_death_rate_unassigned"
"1","01CS001",2020,"AL","Autauga",651,55911,545,55869,59,1,55.911,55.869,11.6435048559317,9.75496250156616,22,22,557.815605126273,9.97684901229226,497,612.025,8.88912736313069,10.9464148378673,28.7100849873347,0.513496181204677,1.05524851996924,93.1843948737272,59,34.1843948737272,0.366846776437729,1.66665584363944,1.05524851996924,0.611407323670199,0.36684677643771
"2","01CS002",2020,"AL","Baldwin",2691,229157,2283,223234,179,1,229.157,223.234,11.7430407973573,10.2269367569456,22,22,2416.95620333651,10.5471628767025,2298.925,2540.025,10.0320958993179,11.0842130068032,62.8589165304922,0.274305024635914,0.781123858315478,274.04379666349,179,95.0437966634895,0.346819734001124,1.19587792065482,0.781123858315478,0.414754062339341,0.34681973400114
"3","01CS003",2020,"AL","Barbour+Bullock+Henry",794,51740,675,51992,88,3,51.74,51.992,15.3459605720912,12.9827665794738,22,22,667.178591795744,12.8948316929985,603.975,736,11.6732701971395,14.2249710088906,33.6537428142162,0.650439559609899,1.70081175106301,126.821408204256,88,38.821408204256,0.306110843223969,2.45112887909267,1.70081175106301,0.750317128029662,0.306110843223962
"4","01CS004",2020,"AL","Bibb+Chilton+Coosa+Perry",1271,85730,1022,86408,174,4,85.73,86.408,14.825615303861,11.8276085547634,22,22,1043.98741922077,12.1776206604545,966,1122.025,11.2679342120611,13.0878922197597,39.5607463611678,0.46145744034956,2.02962790155138,227.012580779233,174,53.0125807792333,0.23352265586896,2.64799464340647,2.02962790155138,0.61836674185509,0.233522655868972
"5","01CS005",2020,"AL","Blount",849,57850,718,57826,97,1,57.85,57.826,14.675885911841,12.4165600249023,22,22,750.74054498024,12.9773646496152,686,817.1,11.8582541054451,14.1244598098531,34.3569322669355,0.593896841260769,1.67675021607606,98.2594550197604,97,1.25945501976037,0.0128176471109786,1.69852126222579,1.67675021607606,0.0217710461497356,0.0128176471109971
"6","01CS006",2020,"AL","Butler+Crenshaw+Pike",987,66140,771,66334,131,3,66.14,66.334,14.9228908376172,11.6229987638315,22,22,777.166594294153,11.7503264937126,708.975,845.025,10.7193075294829,12.7763078318718,34.2246707374532,0.517457979096662,1.98064711218627,209.833405705847,131,78.8334057058473,0.375695211354283,3.17256434390458,1.98064711218627,1.19191723171831,0.375695211354288
"7","01CS007",2020,"AL","Calhoun",1783,113444,1414,113605,190,1,113.444,113.605,15.7170057473291,12.4466352713349,22,22,1571.99439690412,13.8570078356204,1480.975,1676,13.0546789605444,14.7738091040513,50.2292561578825,0.442766970116379,1.67483516096047,211.005603095881,190,21.0056030958813,0.0995499777621369,1.85999791170872,1.67483516096047,0.185162750748243,0.0995499777621474
"8","01CS008",2020,"AL","Chambers+Cleburne+Randolph",1190,71271,937,70886,165,3,71.271,70.886,16.6968332140702,13.2184070197218,22,22,956.033650171806,13.414062524334,885,1034.025,12.4173927684472,14.5083554320832,38.7143696631938,0.543199473322863,2.31510712632066,233.966349828194,165,68.9663498281944,0.294770379923599,3.28277068973624,2.31510712632066,0.967663563415577,0.29477037992359
"9","01CS009",2020,"AL","Cherokee+Etowah",2147,128072,1779,128464,267,2,128.072,128.464,16.7640077456431,13.8482376385602,22,22,1818.5452760698,14.1993978080283,1699.975,1925,13.2735882940846,15.030607783122,58.3056067181774,0.45525647072098,2.08476481978887,328.454723930202,267,61.4547239302017,0.187102572905181,2.56460993761482,2.08476481978887,0.479845117825946,0.187102572905188
"10","01CS010",2020,"AL","Choctaw+Clarke+Washington",833,52290,740,52537,103,3,52.29,52.537,15.9303882195448,14.085311304414,22,22,715.39589444675,13.6813137205345,656.975,780,12.5640657869574,14.916810097533,33.0946933771825,0.632906738901942,1.96978389749474,117.60410555325,103,14.6041055532496,0.124180235754075,2.24907449901027,1.96978389749474,0.279290601515533,0.124180235754057
