covid_excess_death_ratio_cat,n,pop,cum_pop
"(5,10]",1,55379,55379
"(10,15]",1,58214,113593
"(15,20]",1,57834,171427
"(20,25]",5,341482,512909
"(25,30]",4,247713,760622
"(30,35]",5,422780,1183402
"(35,40]",7,605246,1788648
"(40,45]",11,1658187,3446835
"(45,50]",22,3224932,6671767
"(50,55]",44,5497911,12169678
"(55,60]",57,8557671,20727349
"(60,65]",76,14132422,34859771
"(65,70]",84,19063758,53923529
"(70,75]",93,37330620,91254149
"(75,80]",115,43424741,134678890
"(80,85]",98,31876364,166555254
"(85,90]",88,21578282,188133536
"(90,95]",83,23350504,211484040
"(95,100]",675,119580546,331064586
