"cs_code","cs_name","county_name","state_fips","county_fips","county_code"
"01CS001","Autauga","Autauga",1,"001","1001"
"01CS002","Baldwin","Baldwin",1,"003","1003"
"01CS003","Barbour+Bullock+Henry","Barbour",1,"005","1005"
"01CS003","Barbour+Bullock+Henry","Bullock",1,"011","1011"
"01CS003","Barbour+Bullock+Henry","Henry",1,"067","1067"
"01CS004","Bibb+Chilton+Coosa+Perry","Bibb",1,"007","1007"
"01CS004","Bibb+Chilton+Coosa+Perry","Chilton",1,"021","1021"
"01CS004","Bibb+Chilton+Coosa+Perry","Coosa",1,"037","1037"
"01CS004","Bibb+Chilton+Coosa+Perry","Perry",1,"105","1105"
"01CS005","Blount","Blount",1,"009","1009"
"01CS006","Butler+Crenshaw+Pike","Butler",1,"013","1013"
"01CS006","Butler+Crenshaw+Pike","Crenshaw",1,"041","1041"
"01CS006","Butler+Crenshaw+Pike","Pike",1,"109","1109"
"01CS007","Calhoun","Calhoun",1,"015","1015"
"01CS008","Chambers+Cleburne+Randolph","Chambers",1,"017","1017"
"01CS008","Chambers+Cleburne+Randolph","Cleburne",1,"029","1029"
"01CS008","Chambers+Cleburne+Randolph","Randolph",1,"111","1111"
"01CS009","Cherokee+Etowah","Cherokee",1,"019","1019"
"01CS009","Cherokee+Etowah","Etowah",1,"055","1055"
"01CS010","Choctaw+Clarke+Washington","Choctaw",1,"023","1023"
"01CS010","Choctaw+Clarke+Washington","Clarke",1,"025","1025"
"01CS010","Choctaw+Clarke+Washington","Washington",1,"129","1129"
"01CS011","Clay+Talladega","Clay",1,"027","1027"
"01CS011","Clay+Talladega","Talladega",1,"121","1121"
"01CS012","Coffee+Geneva","Coffee",1,"031","1031"
"01CS012","Coffee+Geneva","Geneva",1,"061","1061"
"01CS013","Colbert","Colbert",1,"033","1033"
"01CS014","Conecuh+Marengo+Monroe+Wilcox","Conecuh",1,"035","1035"
"01CS014","Conecuh+Marengo+Monroe+Wilcox","Marengo",1,"091","1091"
"01CS014","Conecuh+Marengo+Monroe+Wilcox","Monroe",1,"099","1099"
"01CS014","Conecuh+Marengo+Monroe+Wilcox","Wilcox",1,"131","1131"
"01CS015","Convington+Escambia","Covington",1,"039","1039"
"01CS015","Convington+Escambia","Escambia",1,"053","1053"
"01CS016","Cullman","Cullman",1,"043","1043"
"01CS017","Dale","Dale",1,"045","1045"
"01CS018","Dallas+Lowndes","Dallas",1,"047","1047"
"01CS018","Dallas+Lowndes","Lowndes",1,"085","1085"
"01CS019","DeKalb","DeKalb",1,"049","1049"
"01CS020","Elmore","Elmore",1,"051","1051"
"01CS021","Fayette+Lamar+Marion","Fayette",1,"057","1057"
"01CS021","Fayette+Lamar+Marion","Lamar",1,"075","1075"
"01CS021","Fayette+Lamar+Marion","Marion",1,"093","1093"
"01CS022","Franklin+Lawrence","Franklin",1,"059","1059"
"01CS022","Franklin+Lawrence","Lawrence",1,"079","1079"
"01CS023","Greene+Hale+Pickens+Sumter","Greene",1,"063","1063"
"01CS023","Greene+Hale+Pickens+Sumter","Hale",1,"065","1065"
"01CS023","Greene+Hale+Pickens+Sumter","Pickens",1,"107","1107"
"01CS023","Greene+Hale+Pickens+Sumter","Sumter",1,"119","1119"
"01CS024","Houston","Houston",1,"069","1069"
"01CS025","Jackson","Jackson",1,"071","1071"
"01CS026","Jefferson","Jefferson",1,"073","1073"
"01CS027","Lauderdale","Lauderdale",1,"077","1077"
"01CS028","Lee","Lee",1,"081","1081"
"01CS029","Limestone","Limestone",1,"083","1083"
"01CS030","Macon+Tallapoosa","Macon",1,"087","1087"
